FullName,AfterComma,KeyCode,Class,NameType,Other_Name_Info,familyName,givenName,birthDate,deathDate,OtherAssociatedDate,gender,nationality,Title,Info,Info_Cleaned,jobTitle,spouse,children,parent,sibling,relatedTo,Relationship,Record_About,Years_BD,Year_Married,Year_Remarried
"Abbema, Louise",", Louise",abbema1,2,Personal,,Abbema,Louise,1858,1927,,Female,French,,"peintre française, 1858-1927",peintre française,Painter,,,,,,,False,1858-1927,,
Abd el-Kader,,abdelk1,1,Personal,,,,1808,1883,,Male,Algerian,,"1808-1883, chef religieux et militaire algérien",chef religieux et militaire algérien,religious and military leader,,,,,,,False,1808-1883,,
"About, Edmond",", Edmond",about1,2,,,,,1828,1885,,Male,,,"homme de lettres, 1828-1885",homme de lettres,homme de lettres,,,,,,,False,1828-1885,,
"Abraham, Pierre",", Pierre",abraha1,0,,,,,,,1930,Male,,,"Auteur de ""Proust"", Rieder, 1930","Auteur de ""Proust""",author,,,,,,,False,,,
"Abrami, Dr Pierre",", Dr Pierre",abrami1,1,,,,,1879,1945,,Male,,,1879-1945,,,,,,,,,False,1879-1945,,
"Abrantès, comte Michel d'",", comte Michel d'",abrant1,0,,,,,1880,,,Male,,Count,1880-?,,,,,,,,,False,,,
"Abrantès, Laure Permon, duchesse d'",", Laure Permon, duchesse d'",abrant2,1,Personal,,,,1784,1838,,Female,,Duchess,"1784-1838, épouse du général Andoche Junot",,,"Junot, Andoche (Général)",,,,,wife of: général Andoche Junot,False,1784-1838,,
"Académus, ou Académos",", ou Académos",academ3,1,,,,,,,,Male,Greek,,héros grec,héros grec,,,,,,,,False,,,
"Acaste, ou Aceste, ou Acestes",", ou Aceste, ou Acestes",acaste1,1,,,,,,,,Male,Greek,,personnage mythologique : un des Argonautes,personnage mythologique : un des Argonautes,,,,,,,,False,,,
"Achard, Mlle M.",", Mlle M.",achard1,0,,,,,,,,Female,,,harpiste,harpiste,harpist,,,,,,,False,,,
"Acker, Paul",", Paul",acker1,2,,,,,1874,1915,,Male,,,"1874-1915, journaliste, romancier, auteur dramatique",journaliste,journalist; author,,,,,,,False,1874-1915,,
"Ackermann, Louise-Victorine Choquet, Mme",", Louise-Victorine Choquet, Mme",ackerm1,2,,,,,1813,1890,,Female,,,1813-1890,,,,,,,,,False,1813-1890,,
"Ackté(ou Achté, ou Ackté-Jalander), Aïno",", ou Ackté-Jalander), Aïno",ackte1,0,,,,,1876,,,Female,Finnish,,"1876-?, chanteuse finlandaise",chanteuse finlandaise,singer,,,,,,,False,,,
"Adam, Mme Hippolyte; née Perrochaud",", Mme Hippolyte; née Perrochaud",adam1,2,,,Adam,,,1914,,Female,,,"?-1914, mère de Mme Léon Yeatman",mère de Mme Léon Yeatman,,adam6,yeatma2,,,,,False,,,
"Adam, Paul",", Paul",adam3,2,,,Adam,,1862,1920,,Male,,,"1862-1920, homme de lettres",homme de lettres,homme de lettres,adam4,,,,,,False,1862-1920,,
"Adam, Marthe Meyer, Mme Paul",", Marthe Meyer, Mme Paul",adam4,2,,,Adam,,,,,Female,,,,,,adam3,,meyer4,meyer6,,,False,,,
"Adam, Juliette Lamber, Mme Edmond",", Juliette Lamber, Mme Edmond",adam5,2,,,Adam,,1836,1936,,Female,,,"1836-1936, femme de lettres",femme de lettres,femme de lettres,adam9,,,,,,False,1836-1936,,
"Adam, Hippolyte",", Hippolyte",adam6,0,,,Adam,,,,,Male,,,beau-père de Léon Yeatman,beau-père de Léon Yeatman,,adam1,,,,father-in-law of yeatma1,,False,,,
"Adam, Antoine",", Antoine",adam7,0,,,Adam,,,,,Male,,,,,,,,,,,,False,,,
"Adam, Adolphe",", Adolphe",adam8,2,,,Adam,,1803,1856,,Male,,,"1803-1856, compositeur",compositeur,composer,,,,,,,False,1803-1856,,
"Adam, Edmond",", Edmond",adam9,1,,,Adam,,1816,1877,,Male,,,"1816-1877, banquier, homme politique",banquier,banker; politician,adam5,,,,,,False,1816-1877,,
"Adelsward-Fersen, baron Jacques d'",", baron Jacques d'",adelsw3,2,,,,,1880,1912,,Male,,Baron,"1880?-1912?, affaire Adelsward-Warren",affaire Adelsward-Warren,,,,,,,,False,1880-1912,,
"Adéma, Marcel",", Marcel",adema1,0,,,,,,,,Male,,,spécialiste d'Apollinaire,spécialiste d'Apollinaire,homme de lettres,,,,,,,False,,,
"Aderer, Adolphe",", Adolphe",aderer1,2,,,,,1855,1923,,Male,,,"homme de lettres, auteur dramatique, 1855-1923",homme de lettres,homme de lettres,,,,,,,False,1855-1923,,
"Adiny, Ada Chapman, dite Ada; Mme Paul Milliet",", Ada Chapman, dite Ada; Mme Paul Milliet",adiny1,0,,,,,1855,1924,,Female,,,"1855-1924, chanteuse",chanteuse,singer,millie1,,,,,,False,1855-1924,,
"Adolphe, oncle",", oncle",adolph2,1,,,,,,,,Male,,,Personnage de la Recherche,personnage de la Recherche,,,,,,,,False,,,
"Ador, Mary",", Mary",ador1,0,,,,,,,1897,Female,,,"chanteuse ou musicienne, concert en 1897",chanteuse ou musicienne,singer; musician,,,,,,,False,,,
"Afghanistan, Emir d'",", Emir d'",afghan1,0,,,,,,,1907,Male,Afghan,Amir,en 1907,,,,,,,,,False,,,
"Agha Khan III, Muhammad Chah",", Muhammad Chah",aghakh1,1,,,,,1877,1957,,Male,,,1877-1957,,,,,,,,,False,1877-1957,,
"Agostinelli, Alfred",", Alfred",agosti1,2,,,Agostinelli,,1888,1914,,Male,,,"1888-1914, chauffeur, secrétaire de Marcel Proust",chauffeur,chauffeur; secretary,,,agosti5; agosti6,agosti2,,,False,1888-1914,,
"Agostinelli, Emile",", Emile",agosti2,2,,,Agostinelli,,1898,1918,,Male,,,"1898?-1918, frère d'Alfred Agostinelli",frère d'Alfred Agostinelli,,agosti4,,agosti5; agosti6,agosti1,,,False,1898-1918,,
"Agostinelli, Anna Square, dite Anna",", Anna Square, dite Anna",agosti3,2,,,Agostinelli,,,,,Female,,,Compagne d'Alfred Agostinelli,Compagne d'Alfred Agostinelli,companion,,,,,,,False,,,
"Agostinelli, Mme Emile",", Mme Emile",agosti4,1,,,Agostinelli,,,,,Female,,,,,,agosti2,,,,,,False,,,
"Agostinelli, Eugène",", Eugène",agosti5,1,,,Agostinelli,,,,,Male,,,père d'Alfred et Emile Agostinelli,père d'Alfred et Emile Agostinelli,,agosti6,agosti1; agosti2,,,,,False,,,
"Agostinelli, Marie-Louise Bensa, Mme Vittoré, puis Mme Eugène",", Marie-Louise Bensa, Mme Vittoré, puis Mme Eugène",agosti6,1,,,Agostinelli,,,,,Female,,,mère d'Alfred et Emile Agostinelli,mère d'Alfred et Emile Agostinelli,,agosti5,agosti1; agosti2,,,,,False,,,
"Agoult, Marie de Flavigny, comtesse Charles d'; pseud. Daniel Stern",", Marie de Flavigny, comtesse Charles d'; pseud. Daniel Stern",agoult1,1,,,,,1805,1876,,Female,,Countess,"1805-1876, écrivain",écrivain,writer,,,,,,,False,1805-1876,,
"Agüera, François-G. de",", François-G. de",aguera1,0,,,,,,,1909,Male,,,en 1909,,,,,,,,,False,,,
"Aicard, Jean",", Jean",aicard1,2,,,,,1848,1921,,Male,,,"1848-1921, écrivain",écrivain,writer,,,,,,,False,1848-1921,,
"Aiguillon, duc d'",", duc d'",aiguil1,1,,,,,,,,Male,,,,,,,,,,,,False,,,
"Aiguy, baron Raymond d'",", baron Raymond d'",aiguy1,1,,,,,1880,,,Male,,Baron,"1880-?, administrateur de société",administrateur de société,administrator,,,,,,,False,,,
"Aiguy, vicomte René d'",", vicomte René d'",aiguy2,1,,,,,,1914,,Male,,Vicount,?-1914,,,,,,,,,False,,,
"Ainslie, Grant Duff Douglas",", Grant Duff Douglas",ainsli1,2,,,,,1865,1948,,Male,,,1865-1948,,,,,,,,,False,1865-1948,,
