Person,Role,Website,Link,Notes
"Helpmann, Robert, 1909-1986",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n50027178.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Robert_Helpmann,
,,IMDb,http://www.imdb.com/name/nm0375818/,
,,Australian Diction of Biography,http://adb.anu.edu.au/biography/helpmann-sir-robert-murray-12620,
,,Helpmann Awards,http://www.helpmannawards.com.au/history/sir-robert-helpmann/,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Robert-Murray-Helpmann,
,,YouTube,https://www.youtube.com/watch?v=tR-uy5t3F-w,
,,Theatricalia,http://theatricalia.com/person/27a/robert-helpmann,
"Colbourne, Maurice, 1894-1950",director,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no96045942.html,
,,VIAF,http://viaf.org/viaf/9440334/,
,,Google Books -- The London Stage 1930-1939 by J.P. Wearing,"https://books.google.com/books?id=Z2mYAwAAQBAJ&pg=PA513&lpg=PA513&dq=Colbourne,+Maurice+happy+hypocrite&source=bl&ots=mMhOqnbItB&sig=S0u_ykd3lQVquODa5kkpB8DjwPA&hl=en&sa=X&ved=0ahUKEwjuyOKzvf3KAhXDr4MKHXOoAKEQ6AEIQDAI#v=onepage&q=Colbourne%2C%20Maurice%20happy%20hypocrite&f=false",
,,Vivien-Leigh.info,http://vivien-leigh.info/theatre/happy_hypocrite/,
,,Theatricalia,http://theatricalia.com/person/1ms/maurice-colbourne,
"Saint-Denis, Michel, 1897-1971",director,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n82163938.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Michel_Saint-Denis,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Michel-Saint-Denis,
,,IMDb,http://www.imdb.com/name/nm0756683/,
,,Theatricalia,http://theatricalia.com/person/332/michel-saint-denis,
"Addinsell, Richard, 1904-1977",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n82153087.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Richard_Addinsell,
,,IMDb,http://www.imdb.com/name/nm0005941/,
,,Theatricalia,http://theatricalia.com/person/vr7/richard-addinsell,
"Obey, Andre, 1892-1975",author,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n85057168.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Andr%C3%A9_Obey,
,,Theatricalia,http://theatricalia.com/person/n0z/andre-obey,
"Jones, Barry, 1893-1981",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n85199289.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Barry_Jones_%28actor%29,
,,IMDb,http://www.imdb.com/name/nm0427543/,
,,Theatricalia,http://theatricalia.com/person/1p9/barry-jones,
"Harbord, Carl, 1908-1958",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no2010110289.html,
,,IMDb,http://www.imdb.com/name/nm0361945/,
,,tentative,http://theatricalia.com/person/qng/carl-harbord,
"Ffrangcon-Davies, Gwen, 1891-1992",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/no96055206.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Gwen_Ffrangcon-Davies,
,,IMDb,http://www.imdb.com/name/nm0203737/,
,,Theatricalia,http://theatricalia.com/person/k2w/gwen-ffrangcon-davies,
"Beerbohm, Max, Sir, 1872-1956",author,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80036711.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Max_Beerbohm,
"Dane, Clemence, 1888-1965 -- pseudonym of Winifred Ashton",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n83139032.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Clemence_Dane,
,,Encyclopedia.com,http://www.encyclopedia.com/article-1G2-2591302263/dane-clemence-18881965.html,
,,Theatricalia,http://theatricalia.com/person/j82/clemence-dane,
"Dekker, Thomas, ca. 1572-1632",author,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79006769.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Thomas_Dekker_%28writer%29,
,,Theatricalia,http://theatricalia.com/person/1av/thomas-dekker,
"Hayes, George, 1888-1967",actor,,,
,,IMDb,http://www.imdb.com/name/nm0371026/,Not sure about this actor
,,Theatricalia,http://theatricalia.com/person/1t0/george-hayes,
"Basil, Thomas, 1912-1957",actor,,,
,,IMDb,http://www.imdb.com/name/nm0858513/,
"Bruce, Tony, 1909-1937",actor,,,
,,IMDb,http://www.imdb.com/name/nm0115595/,
,,Theatricalia,http://theatricalia.com/person/n7g/tony-bruce,
"Toye, Geoffrey, 1989-1942",author,,,
,,Worldcat Identities,http://worldcat.org/identities/lccn-n78029012/,
"Briggs, Hedley, 1907-1968",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n97858035.html,
,,VIAF,http://viaf.org/viaf/6693434/#skos:Concept,
,,Theatricalia,http://theatricalia.com/person/n0k/hedley-briggs,
,,University of Kent Theater Collections,https://www.kent.ac.uk/library/specialcollections/theatre/r.php/33788/show.html,
"Quayle, Anthony, 1913-1989",actor/director,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n81024775.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Anthony_Quayle,
,,IMDb,http://www.imdb.com/name/nm0703033/,
,,Theatricalia,http://theatricalia.com/person/27m/anthony-quayle,
"Guthrie, Tyrone, Sir, 1900-1971",director,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n80139336.html,
,,IMDb,http://www.imdb.com/name/nm0349310/,
,,Wikipedia,https://en.wikipedia.org/wiki/Tyrone_Guthrie,
,,Theatricalia,http://theatricalia.com/person/1vx/tyrone-guthrie,
"Sheridan, Richard Brinsley, 1751-1816",author,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79089813.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Richard_Brinsley_Sheridan,
,,Encyclopedia Britannica,http://www.britannica.com/biography/Richard-Brinsley-Butler-Sheridan,
,,Theatricalia,http://theatricalia.com/person/y/richard-brinsley-sheridan,
"Redgrave, Michael, Sir, 1908-1985",actor,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n82220456.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Michael_Redgrave,
,,IMDb,http://www.imdb.com/name/nm0714878/,
,,TCM,http://www.tcm.com/tcmdb/person/159000|111831/Michael-Redgrave/,
,,Theatricalia,http://theatricalia.com/person/2cq/michael-redgrave,
"Milhaud, Darius, 1892-1974",composer,,,
,,LC Name Authority,http://id.loc.gov/authorities/names/n79109326.html,
,,Wikipedia,https://en.wikipedia.org/wiki/Darius_Milhaud,
