Production,Year,Location,Source,Source Type,Link,
,,,,,,
The Coast of Caromandel,nd,Tour only,Worldcat,Broad,http://www.worldcat.org/title/coast-of-coromandel-a-play-in-three-acts/oclc/14189885,
,,,AbeBooks,Broad,http://www.abebooks.co.uk/Coast-Coromandel-Play-three-Acts-Sadler/16216732143/bd,
,,,Amazon,Broad,https://www.amazon.ca/The-Coast-Coromandel-J-Sadler/dp/B00EARLUFI,
,,,,,,
Hay Fever,1964,"National Theatre at the Old Vic Theatre (London, England)",Theatricalia,Specific,http://theatricalia.com/play/2w8/hay-fever/production/9yk,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Hay_Fever_%28play%29,
,,,,,,
Ben Franklin in Paris,1964,"Lunt-Fontanne Theatre (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Ben_Franklin_in_Paris,
The Magistrate,1959,"Old Vic Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Magistrate_%28play%29,
,,,Theatricalia,Specific,http://theatricalia.com/play/3ky/the-magistrate/production/96e,
Baker Street,1964,"Broadway Theatre (New York, N.Y.)", ,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Baker_Street_%28musical%29,
Masked Ball,1965,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/A_Masked_Ball,
Right Honourable Gentleman,1964,"Her Majesty's Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Right_Honourable,
Faust,1964,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Goethe's_Faust,
Merry Wives of Windsor,1955,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Wikipedia,Braod,https://en.wikipedia.org/wiki/The_Merry_Wives_of_Windsor,
,,,Theatricalia,specific,http://theatricalia.com/play/1b/the-merry-wives-of-windsor/production/xx,
Merry Wives of Windsor,1959,"American Shakespeare Theatre (Stratford, Conn.)",,,,
,,,,,,
Spring Awakening,1965,"Royal Court Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Spring_Awakening_%28play%29,
Devils,1965,"Broadway Theatre (New York, N.Y.)",,,,
,,,HT,,https://catalog.hathitrust.org/Record/006059851,
,,,Wikipedia,,https://en.wikipedia.org/wiki/The_Devils_%28play%29,
Trelawny of the Wells,1965,"Chichester Festival Theatre (Chichester, England)",Theatricalia,Specific,http://theatricalia.com/play/2w4/trelawny-of-the-wells/production/a0h,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Trelawny_of_the_'Wells',
You Never Can Tell,1966,"Haymarket Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/You_Never_Can_Tell_%28play%29,
La Boheme,1966,"Sadler's Wells Theatre (London, England)",,,,
,,,Theatricalia,specific,http://theatricalia.com/play/45w/la-boheme/production/vvb,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/La_boh%C3%A8me,
King Lear,1960,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,specific,http://theatricalia.com/play/y/king-lear/production/9e5,
Rivals,1966,"Haymarket Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Rivals,
Esther Williams Water Show,1956,Wembly Coliseum,,,,
,,,Filmography,Broad,http://esther-williams.com/filmography/,
Dance of Death,1962,"National Theatre at the Old Vic Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Dance_of_Death_%28Strindberg%29,
,,,Theatricalia,tentative,http://theatricalia.com/play/b6/the-dance-of-death/production/a4d,
Unknown Soldier and His Wife,1967,"Vivian Beaumont Theater (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Unknown_Soldier_and_His_Wife,
"Trio [three one-act plays]: The Will, Village Wooing, and Ways and Means",1968,"Yvonne Arnaud Theatre (Guildford, England)",,,,
,,,Design by Motley by Michael Mullin,Specific,"https://books.google.com/books?id=cVqUizkMUrEC&pg=PA233&lpg=PA233&dq=Trio+[three+one-act+plays]:+The+Will,+Village+Wooing,+and+Ways+and+Means&source=bl&ots=IUoMapmzFD&sig=zk_XkiXv0szOyNV1NByZAmpwuvk&hl=en&sa=X&ved=0ahUKEwi7p8vJ7_vMAhVP3WMKHel8CMwQ6AEIKTAD#v=onepage&q=Trio%20[three%20one-act%20plays]%3A%20The%20Will%2C%20Village%20Wooing%2C%20and%20Ways%20and%20Means&f=false",
Mastersingers of Nuremberg,1968,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Die_Meistersinger_von_N%C3%BCrnberg,
Merchant of Venice,1967,"Haymarket Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Merchant_of_Venice,
Merchant of Venice,1932,"Old Vic Theatre (London, England)",,,,
