NAME,VIAF NAME,VARIANTS NAMES,VIAF,WIKIPEDIA,WORLDCAT,LOC,IMDb,IBDb,LOC (Popular Graphic Arts),Notes
"Abbot, William, 1789-1843","Abbott, William, 1789-1843","Abbot, William,
Abbot, William
Abbott,
Abbott
William Abbot",http://viaf.org/viaf/25985092,https://en.wikipedia.org/wiki/William_Abbot,https://www.worldcat.org/identities/lccn-n83180250/,http://id.loc.gov/authorities/names/n83180250,,,,
"Abington, Mrs., (Frances Barton), 1737-1815","Abington, Frances 1737-1815","Abington, Frances
Abington, Mrs. (Frances Barton)
Frances Abington
",https://viaf.org/viaf/49153847,https://en.wikipedia.org/wiki/Frances_Abington,https://www.worldcat.org/identities/containsVIAFID/49153847,http://id.loc.gov/authorities/names/nr2001011606,,,,
"Abrams, Miss, fl. 1778",,,,,,,,,,
"Adams, Edwin, 1834-1877",,"Adams, Edwin
Edwin Adams
Edwin Adams American actor",https://viaf.org/viaf/59009442/,https://en.wikipedia.org/wiki/Edwin_Adams_(actor),http://www.worldcat.org/identities/lccn-nr2001-18199,http://id.loc.gov/authorities/names/nr2001018199,,,,
"Adams, Maude, 1872-1953","Adams, Maude, 1872-1953","Adams, Maud,
Adams, Maud
Maude Adams
Maude Ewing Adams Kiskadden",http://viaf.org/viaf/59344621,https://en.wikipedia.org/wiki/Maude_Adams,http://www.worldcat.org/identities/lccn-n83-148859,http://id.loc.gov/authorities/names/n83148859,http://www.imdb.com/name/nm5155958/,,,
"Addison, Laura, 1822-1852","Addison, Laura, 1822-1852","Addison, Laura
Laura Addison",http://viaf.org/viaf/24527744,http://en.wikipedia.org/wiki/Special:Search?search=Laura_Addison,http://www.worldcat.org/identities/lccn-nr2001018452/,http://id.loc.gov/authorities/names/nr2001018452,,,,
"Aickin, Francis, d. 1805","Aickin, Francis, -1805","Aickin, Francis
Francis Aickin",http://viaf.org/viaf/43860438,http://en.wikipedia.org/wiki/Special:Search?search=Francis_Aickin,http://www.worldcat.org/identities/lccn-no91005679/,http://id.loc.gov/authorities/names/no91005679,,,,
"Aickin, James, d. 1803","Aickin, James, -1803","Aickin, James,
Aikin, James,
James Aickin",http://viaf.org/viaf/31847307,https://en.wikipedia.org/wiki/James_Aickin,http://www.worldcat.org/identities/lccn-nr90-19530,http://id.loc.gov/authorities/names/nr90019530,,,,
"Alexander, George, Sir, 1858-1918","Alexander, George, Sir, 1858-1918","Alexander, G.
George Alexander
Samson, George Alexander Gibb,
Samson, George Alexander Gibb
",http://viaf.org/viaf/72141318,https://en.wikipedia.org/wiki/George_Alexander_(actor),http://www.worldcat.org/identities/lccn-no92-12322,http://id.loc.gov/authorities/names/no92012322,http://www.imdb.com/name/nm0018440/,,,
"Alexandre (Alexander Vattenmare), 1796-1864","Vattemare, Alexandre, 1796-1864","Alexandre Vattemare
Vattemare, Alexandre
Vattemare, Alexandre (Nicolas Marie Alexandre)",http://viaf.org/viaf/49216734/,https://en.wikipedia.org/wiki/Alexandre_Vattemare,http://www.worldcat.org/identities/lccn-no89-14214,http://id.loc.gov/authorities/names/no89014214,,,,
