ID Number,Title,Date,Role,Play,Subject,Type,Dimensions,Technique,Creator,Publisher,Description,Rights,Physical Collection,Repository,Collection,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
A134-01,Portrait of William Abbot,,,,"Abbot, William, 1789-1843; Actors; Costume; Theater--History--19th century--Pictorial works",Engravings,8 1/2 x 13 inches,Engraving; Etching,"Thurston, J.C.; Picart, Charles",,"Half-length. In Roman dress, wearing short sleeves, toga, and high collar.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699133,9/27/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/2,2,3.jpg,/actors/image/3.jpg
A134-02,"William Abbot as Colonel Mannering in ""Guy Mannering""",,Colonel Mannering,Guy Mannering,"Abbot, William, 1789-1843; Actors; Costume; Theater--History--19th century--Pictorial works",Engravings,Mounted sheet 4 x 6 1/2 inches,Engraving; Etching,"Partridge, J.; Thomson, J.",,"Whole length. Wearing long coat and boots, holding hat. With text:  ""I know you, and if you do not instantly descend those stairs, by the heaven above us, you shall take but one step from the top to the bottom.""","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739690732,10/3/2006,4/19/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/3,3,4.jpg,/actors/image/4.jpg
A149-14,"Frances Abington (nee Barton) as Aurelia in ""The Twin Rivals""",,Aurelia,The Twin Rivals,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,5 x 3 3/4 inches,Engraving; Etching,,,"Three-quarter-length. Wearing dress with ornaments and headdress with plumes, holding fan. With text from Diary of Henry Crabb Robinson:  ""1811_June 16th___met the once celebrated Mrs. Abington__She herself laughed at her snub nose""","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699098,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/4,4,10.jpg,/actors/image/10.jpg
A149-15,"Frances Abington (nee Barton) as Charlotte in ""The Hypocrite""",1786,Charlotte,The Hypocrite,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,3 1/4 x 5 inches,Engraving; Etching,Ryley; Hall,W. Lowndes,"Whole-length standing, facing left to male figure. Wearing dress with ornaments, headdress with plume, holding fan.  With text: ""How!  Two Thousand Pounds!""Act IV, Scene 1.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692719,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/5,5,11.jpg,/actors/image/11.jpg
A149-16,"Frances Abington (nee Barton) as Clarinda in ""The Suspicious Husband""",1779,Clarinda,The Suspicious Husband,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Border 3 1/2 x 5 1/4 inches,Engraving; Etching,,J. Bell,"Whole-length standing. Wearing dress with ornaments, headdress with plumes, holding open fan.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699261,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/6,6,12.jpg,/actors/image/12.jpg
A149-17,Mary Ann Yates (nee Graham) and Frances Abington (nee Barton) in the Characters of the Tragic and Comic Muses,,Tragic Muse; Comic Muse,,"Abington, Mrs., (Frances Barton), 1737-1815; Yates, Mrs. (Mary Ann), 1728-1784; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Plate marks 4 x 7 inches,Engraving; Etching,,,Whole-length. Holding props.,"These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692675,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/7,7,13.jpg,/actors/image/13.jpg
A149-18,Frances Abington (nee Barton) as the Comic Muse,1783,Comic Muse,,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,4 x 6 inches,Engraving; Etching,Walker,Harrison & Co.,"Whole-length standing, leaning on pedestal, holding mask in hand.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692682,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/8,8,14.jpg,/actors/image/14.jpg
A149-19,"Frances Abington (nee Barton) as Corinna in ""The Confederacy""",1779,Corinna,The Confederacy,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Plate marks 3 1/4 x 4 1/2 inches,Engraving; Etching,Terry,J. Harrison & Co.,"Whole-length. Wearing dress with ornaments, headdress with plumes. With text: ""O Lord, a letter!_is there ever a token in it?"" Act 2.d,  Scene 1st","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692739,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/9,9,15.jpg,/actors/image/15.jpg
A149-20,"Frances Abington (nee Barton) as Estifania in ""Rule a Wife and Have a Wife""",1776,Estifania,Rule a Wife and Have a Wife,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Border 4 x 5 1/2 inches,Engraving; Etching,"Roberts, J.",J. Bell,"Whole-length. Wearing dress with ornaments, headdress with plumes, and cross pendant; holding chain.                                                                       With text: ""And here's a Chain of Whitings Eyes for Pearls, a Musell monger would have made a better.""","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699109,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/10,10,16.jpg,/actors/image/16.jpg
A149-21,"Frances Abington (nee Barton) as Estifania in ""Rule a Wife and Have a Wife""",1776,Estifania,Rule a Wife and Have a Wife,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Border 3 1/2 x 5 1/4 inches,Engraving; Etching,"Roberts, J.",J. Bell,"Whole-length. Wearing dress with ornaments and headdress with plumes; holding up chain with cross.                                            With text: ""And here's a Chain of Whitings Eyes for Pearls, A Musell monger would have made a better.""","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692667,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/11,11,17.jpg,/actors/image/17.jpg
